Data,Investimento,GMV,ROAS,Visitas,CPV,Tx. Conv,CPC,TKM,CPA,Pedidos,Cliques,Impr.,CTR
01/04/2026,63.417,987.646,"15,6",25.712,"R$ 2,47","1,40%","1,63",1.819,"116,79",543,38.828,2.257.132,"1,72%"
02/04/2026,45.068,541.274,"12,0",16.926,"R$ 2,66","1,04%","1,58",1.816,"151,24",298,28.591,1.677.347,"1,70%"
03/04/2026,793,70.102,"88,4",1.573,"R$ 0,50","5,63%","1,09",1.710,"19,34",41,728,42.270,"1,72%"
04/04/2026,120.545,1.093.908,"9,1",43.088,"R$ 2,80","0,73%","1,64",2.037,"224,48",537,73.723,4.515.455,"1,63%"
05/04/2026,180.735,2.176.053,"12,0",71.625,"R$ 2,52","0,74%","1,51",2.462,"204,45",884,119.939,7.819.765,"1,53%"
06/04/2026,97.506,1.488.392,"15,3",35.952,"R$ 2,71","1,27%","1,74",2.093,"137,14",711,56.103,3.553.511,"1,58%"
07/04/2026,120.199,1.336.009,"11,1",40.590,"R$ 2,96","1,08%","1,84",1.900,"170,98",703,65.253,4.447.428,"1,47%"
08/04/2026,99.048,1.203.343,"12,1",33.867,"R$ 2,92","1,01%","1,85",2.216,"182,41",543,53.561,3.719.681,"1,44%"
09/04/2026,97.422,979.892,"10,1",33.026,"R$ 2,95","0,98%","1,91",1.960,"194,84",500,50.942,3.684.657,"1,38%"
10/04/2026,66.103,766.021,"11,6",28.481,"R$ 2,32","0,98%","1,53",1.798,"155,17",426,43.298,3.047.163,"1,42%"
11/04/2026,59.407,621.625,"10,5",28.610,"R$ 2,08","0,87%","1,36",1.627,"155,52",382,43.793,3.009.748,"1,46%"
12/04/2026,47.221,743.581,"15,7",26.087,"R$ 1,81","0,85%","1,20",2.240,"142,23",332,39.245,2.863.894,"1,37%"
13/04/2026,65.246,963.648,"14,8",30.950,"R$ 2,11","0,92%","1,43",2.289,"154,98",421,45.771,3.431.697,"1,33%"
14/04/2026,62.216,883.622,"14,2",30.008,"R$ 2,07","0,96%","1,39",2.060,"145,03",429,44.868,3.440.891,"1,30%"
